"mlid","tid","vid"
"tid","title"
"66","Японская гравюра"
"67","Европейская гравюра XV-XVII"
"68","Модерн"
"63","Allaert Claesz"
"69","Nikolaus Stör"
"73","иллюстрация"
"74","Джон Тенниел"
"75","плакатная графика"
"82","Стейнлен, Теофиль-Александр"
"8","Хьюго Симберг"
"83","Библия Мациевского"
"84","Русская миниатюра"
"85","карикатура"
"86","Манесский кодекс"
"10","Michael Cheval (Михаил Хохлачев)"
"144","Гравюра XVIII-XIX"
"145","Густав Доре"
"147","Ян ван Эйк"
"150","Жан Гранвиль"
"151","Лукас Кранах Старший"
"152","Уильям Хогарт"
"153","художники 16-17 веков"
"154","Лукас Кранах  Младший"
"155","художники 18-19 веков"
"156","Лабурер Жан-Эмиль / Jean-Цmile Laboureur"
"161","Братья Лимбурги"
"171","Jacques Callot"
"139","гравюра"
"tid","vid","name","description","weight"
"4","1","Иван Билибин","ivan_bilibin.jpg","6"
"2","1","Альфонс Муха","alphonse-mucha.jpg_.jpg","2"
"216","5","1912",,"21"
"5","1","Обри Бердслей","berdsley_self.gif","0"
"6","1","Густав Климт","klimt.jpg","1"
"7","1","Уотерхаус","john-william-waterhouse.jpg","0"
"8","1","Симберг","simberg2.jpg","3"
"224","5","1967",,"31"
"10","1","Michael Cheval","m.cheval.jpg","4"
"11","1","Anry Nemo","anry.jpg","3"
"220","5","1989",,"33"
"219","5","США",,"1"
"14","1","художники 15 века","francesco_marmitta_-_virgin_and_child.jpg","0"
"63","1","Allaert Claesz",,"0"
"17","1","Эрте","erte_portrait.jpg","3"
"226","5","абстракция",,"0"
"19","1","Хокусай","hokusai_portrait.jpg","0"
"20","1","Рафал Олбински","rafal_olbinski_foto.jpg","5"
"21","1","Джозеф Лейендекер","220px-jc_leyendecker.jpg
","3"
"22","1","Питер Брейгель Старший","dominicus_lampsonius_-_portrait_of_pieter_bruegel_the_elder.jpg","6"
"23","1","Бальдунг","hans_baldung_self-portrait.jpg","8"
"24","1","Бургкмайр","hans_burgkmair.jpg","11"
"61","1","Амбергер","amberger_christoph.jpg","7"
"64","1","Йорг Брой Младший","breu_jorg_the_elder_1533_portrait_of_a_man.jpg","3"
"58","1","Альбрехт Дюрер","durer.jpg","5"
"59","1","Мартин Шонгауэр","martin_schongauer.jpg","4"
"60","1","Гольциус","451px-hendrikgoltziusportrait.jpg","12"
"83","1","Библия Мациевского","bible_maciejowski_agag_is_brought_to_samuel.jpg","3"
"84","1","Русская миниатюра","drevnerusskaya_miniatyura_p5.jpg","5"
"85","1","карикатура","aubrey_beardsley_mendelson_1896.jpg","61"
"86","1","Манесский кодекс","codex_manesse_423_der_kanzler.jpg","4"
"158","1","художники","j.severini.jpg","69"
"88","1","Вермеер","535px-johannesvermeer_-_de_koppelaarster.jpg","0"
"89","1","Менье",,"2"
"90","1","Комба",,"1"
"91","1","Петер Беренс","peter-behrens-1.jpg","6"
"65","1","Ганс Себальд Бехам","250px-portrait_of_sebald_beham.jpg","2"
"66","1","Японская гравюра","cat_japan_pic09114_w300.jpg","2"
"67","1","Европейская гравюра XV-XVII","nikolaus_stor_1525-1540.jpg","0"
"68","1","Модерн","the-trappistine-1897.jpg","62"
"69","1","Nikolaus Stör","nikolaus_stor_1525-1540.jpg","1"
"72","1","миниатюра","how_alexander_the_great_laid_siege_to_the_town_of_tyre.jpg","23"
"73","1","иллюстрация","alice-37.jpg","53"
"74","1","Джон Тенниел","220px-john_tenniel00.jpg","1"
"75","1","плакатная графика","steinlein-chatnoirt.-a._steynlen_chyornyy_kot._plakat_odnoimyonnogo_kabare.jpg","40"
"77","1","Конструктивизм","ksssrpost_0024.jpg","3"
"78","1","Хольвайн, Людвиг","hohlwein_portrait_2.jpg","5"
"231","1","Юлиус Клингер",,"0"
"80","1","Норман Рокуэлл","norman_rockwall.jpg","4"
"82","1","Стейнлен","steinlengat.jpg","0"
"94","5","стиль",,"37"
"95","5","жанр",,"0"
"96","5","техника",,"63"
"97","5","гравюра",,"0"
"98","5","ксилография",,"4"
"99","5","укиё-э",,"1"
"100","5","миниатюра",,"9"
"101","5","иллюстрация",,"8"
"102","5","плакат",,"10"
"103","5","литография",,"6"
"104","5","карикатура",,"11"
"105","5","модерн",,"12"
"106","5","рисунок",,"2"
"107","5","сецессион",,"15"
"108","5","компьютерная графика","http://ru.wikipedia.org/wiki/%D0%A6%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B6%D0%B8%D0%B2%D0%BE%D0%BF%D0%B8%D1%81%D1%8C","21"
"109","5","Ар Нуво",,"13"
"110","5","кубизм",,"16"
"111","5","реклама",,"7"
"112","5","живопись",,"1"
"113","5","афиша",,"6"
"114","5","агитация",,"1"
"115","5","Art Deco",,"14"
"116","5","конструктивизм",,"17"
"117","1","Гарри Кларк","photo_harry_clarke.jpg
","2"
"120","5","романтизм",,"7"
"119","5","Возрождение",,"1"
"121","5","символизм",,"8"
"122","5","акварель",,"1"
"123","5","масло",,"0"
"124","5","экспрессионизм",,"11"
"125","5","сюрреализм",,"9"
"126","5","неоклассицизм",,"10"
"129","5","магический реализм","http://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%BC","19"
"128","5","футуризм",,"18"
"130","5","поп-арт",,"20"
"131","5","цифровая живопись","http://ru.wikipedia.org/wiki/%D0%A6%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B6%D0%B8%D0%B2%D0%BE%D0%BF%D0%B8%D1%81%D1%8C","24"
"132","5","фэнтези",,"5"
"133","1","компьютерная графика","cg-art_3d_012.jpg","48"
"144","1","Гравюра XVIII-XIX",,"1"
"151","1","Лукас Кранах Старший","220px-lucas_cranach_d._a._063.jpg","9"
"136","1","Ютака Кагайя","kagaya_portret_2.jpg","2"
"137","5","3D",,"22"
"138","1","живопись","hey_zhan_dofin_karl_orleanskiy.jpg","30"
"139","1","гравюра","nikolaus_stor_1525-1540.jpg","0"
"140","5","импрессионизм",,"5"
"141","1","фрактальное искусство","satu_oli__spring_in_japan_by_magnusti781.jpg","1"
"142","5","фрактальное искусство",,"23"
"143","1","3D","cg-art_11.jpg","0"
"145","1","Густав Доре","biopic.jpg","0"
"146","1","Ганс Гольбейн Младший","p003.jpg
","10"
"161","1","Братья Лимбурги","06_june.jpg","0"
"148","1","Пляска Смерти",,"0"
"154","1","Лукас Кранах  Младший","220px-lucas_cranach_der_jungere.jpg","1"
"155","1","художники 18-19 веков","cleopatra_1888.jpg","2"
"156","1","Лабурер Жан-Эмиль","jean-emile_laboureur_self.jpg","3"
"157","1","Хроники Жана Фруассара","fruassar_j.-p001..jpg","2"
"160","1","Миниатюры из \"Бабур-наме\"","babur_namah.jpg","1"
"152","1","Уильям Хогарт","william_hogarth_006.jpg","1"
"153","1","художники 16-17 веков","margarita_elizaveta_fon_ansbah-bayroyt_1549.jpg","1"
"150","1","Жан Гранвиль","grandville_jj_selfportrait_02.gif","0"
"149","5","портрет",,"4"
"147","1","Ян ван Эйк","portrait-of-jan-van-eyck-by-lampsonius.jpg","0"
"162","5","шелкография",,"3"
"163","5","сюжет",,"30"
"164","5","Столетняя война",,"5"
"240","5","цветная гравюра",,"0"
"238","5","1583",,"2"
"167","5","Куликовская битва",,"2"
"168","5","Реформация",,"4"
"169","5","Первая мировая война",,"3"
"170","5","офорт",,"5"
"171","1","Жак Калло","jacobus_callot_after_a._van_dyck.jpg","13"
