-"entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_related_links_value","field_related_links_format"
"node","playlist","0","162","162","und","0","<a data-type=""playlist-file"" href=""/music/0_playlists/Rowan.json"">Rowan.json</a>",""
"node","playlist","0","164","164","und","0","<a data-type=""playlist-file"" href=""/music/0_playlists/My dying bride.json"">My dying bride.json</a>",""
"node","playlist","0","166","166","und","0","<a data-type=""playlist-file"" href=""/music/0_playlists/Manowar.json"">Manowar.json</a>",""
"node","playlist","0","169","169","und","0","<a data-type=""playlist-file"" href=""/music/0_playlists/russian.json"">russian.json</a>",""
"node","playlist","0","172","172","und","0","<a data-type=""playlist-file"" href=""/music/0_playlists/punk, hardcore.json"">punk, hardcore.json</a>",""
"node","playlist","0","173","173","und","0","<a data-type=""external-link"" href=""https://music.yandex.ru/users/roman-laptev/playlists/1010"">music.yandex.ru</a>",""
"node","playlist","0","173","173","und","1","<a data-type=""playlist-file"" href=""/music/0_playlists/rus_punk.json"">rus_punk.json</a>",""
"node","playlist","0","174","174","und","0","<a data-type=""external-link"" href=""https://music.yandex.ru/users/roman-laptev/playlists/1006"">music.yandex.ru</a>",""
"node","playlist","0","174","174","und","1","<a data-type=""playlist-file"" href=""/music/0_playlists/GrOb.json"">GrOb.json</a>",""
"node","playlist","0","175","175","und","0","<a data-type=""external-link"" href=""https://music.yandex.ru/users/roman-laptev/playlists/1012"">music.yandex.ru</a>",""
"node","playlist","0","175","175","und","1","<a data-type=""playlist-file"" href=""/music/0_playlists/ska.json"">ska.json</a>",""
"node","playlist","0","176","176","und","0","<a data-type=""playlist-file"" href=""/music/0_playlists/thrash, death, grindecore, hardcore.json"">thrash, death, grindecore, hardcore.json</a>",""
"node","playlist","0","179","179","und","0","<a data-type=""playlist-file"" href=""/music/0_playlists/red_elvices.json"">red_elvices.json</a>",""
"node","playlist","0","180","180","und","0","<a data-type=""playlist-file"" href=""/music/0_playlists/disko, pop.json"">disko, pop.json</a>",""
"node","playlist","0","155","155","und","0","<a data-type=""external-link"" href=""https://music.yandex.ru/users/roman-laptev/playlists/1021"">music.yandex.ru</a>",""
"node","playlist","0","155","155","und","1","<a data-type=""playlist-file"" href=""/music/0_playlists/Jazz and swing.json"">Jazz and swing.json</a>",""
"node","playlist","0","187","187","und","0","<a data-type=""playlist-file"" href=""/music/0_playlists/mix_transe, hip-hop, latin.json"">mix_transe, hip-hop, latin.json</a>",""
"node","playlist","0","167","167","und","0","<a data-type=""external-link"" href=""https://music.yandex.ru/users/roman-laptev/playlists/1016"">music.yandex.ru</a>",""
"node","playlist","0","167","167","und","1","<a data-type=""playlist-file"" href=""/music/0_playlists/Therion.json"">Therion.json</a>",""
"node","playlist","0","168","168","und","0","<a data-type=""external-link"" href=""https://music.yandex.ru/users/roman-laptev/playlists/1015"">music.yandex.ru</a>",""
"node","playlist","0","168","168","und","1","<a data-type=""playlist-file"" href=""/music/0_playlists/Nightwish.json"">Nightwish.json</a>",""
"node","playlist","0","183","183","und","0","<a data-type=""playlist-file"" href=""/music/0_playlists/indian.json"">indian.json</a>",""
"node","playlist","0","157","157","und","0","<a data-type=""external-link"" href=""https://music.yandex.ru/users/roman-laptev/playlists/1007"">music.yandex.ru</a>",""
"node","playlist","0","157","157","und","1","<a data-type=""external-link"" href=""https://www.youtube.com/watch?v=7lC1lRz5Z_s&list=PL2sTusldk6UjU_GTUOs17hBo_pVe1ZauI"">youtube</a>",""
"node","playlist","0","157","157","und","2","<a data-type=""playlist-file"" href=""/music/0_playlists/Vivaldi.json"">Vivaldi.json</a>",""
"node","playlist","0","159","159","und","0","<a data-type=""external-link"" href=""https://music.yandex.ru/users/roman-laptev/playlists/1007"">music.yandex.ru</a>",""
"node","playlist","0","159","159","und","1","<a data-type=""external-link"" href=""https://www.youtube.com/watch?v=7lC1lRz5Z_s&list=PL2sTusldk6UjU_GTUOs17hBo_pVe1ZauI"">youtube</a>",""
"node","playlist","0","159","159","und","2","<a data-type=""playlist-file"" href=""/music/0_playlists/Bach.json"">Bach.json</a>",""
"node","playlist","0","158","158","und","0","<a data-type=""external-link"" href=""https://music.yandex.ru/users/roman-laptev/playlists/1007"">music.yandex.ru</a>",""
"node","playlist","0","158","158","und","1","<a data-type=""external-link"" href=""https://www.youtube.com/watch?v=7lC1lRz5Z_s&list=PL2sTusldk6UjU_GTUOs17hBo_pVe1ZauI"">youtube</a>",""
"node","playlist","0","158","158","und","2","<a data-type=""playlist-file"" href=""/music/0_playlists/Mozart.json"">Mozart.json</a>",""
"node","playlist","0","160","160","und","0","<a data-type=""external-link"" href=""https://music.yandex.ru/users/roman-laptev/playlists/1007"">music.yandex.ru</a>",""
