mlid,nid,bid
413,3,3
414,2,3
415,4,3
418,6,3
419,7,3
420,8,3
421,9,3
422,10,3
423,11,3
424,12,3
425,13,3
429,858,3
430,936,3
431,890,3
432,913,3
433,915,3
434,909,3
435,864,3
436,889,3
437,961,3
438,962,3
444,973,3
445,974,3
446,975,3
447,976,3
448,977,3
449,874,3
450,702,3
451,865,3
452,980,3
453,898,3
454,908,3
455,981,3
458,751,3
459,697,3
460,985,3
461,986,3
462,987,3
463,988,3
464,989,3
465,990,3
466,891,3
477,1001,3
481,725,3
482,1005,3
489,1012,3
490,792,3
492,885,3
493,722,3
494,723,3
495,872,3
496,724,3
497,796,3
498,873,3
499,876,3
500,1014,1014
501,1013,1014
503,1016,1014
504,1017,1014
512,1025,1014
514,1027,1014
516,1029,1014
517,1030,1014
519,979,1014
520,1032,1014
522,1034,1014
524,1036,1014
525,668,1014
526,1037,1014
527,1038,1014
531,1042,1014
532,1043,1014
533,880,3
534,931,3
535,1044,3
536,1045,3
539,1048,3
540,1049,3
541,1050,3
542,1051,3
544,1053,3
545,1054,3
546,964,3
547,662,3
548,1055,3
549,836,3
550,870,3
554,1059,1014
555,1060,1014
556,1061,1014
557,1062,1014
558,1063,1014
559,1064,1014
560,1065,1014
561,1066,1014
562,1067,1014
563,1068,1014
564,1069,1014
565,1070,1014
566,1071,1014
567,1072,1014
568,1073,1014
569,1074,1014
575,732,3
576,1080,3
577,769,3
578,1081,1014
579,859,3
580,926,3
581,923,3
582,925,3
583,921,3
584,924,3
585,922,3
586,887,3
587,756,3
588,738,3
589,850,3
590,719,3
591,966,3
592,928,3
593,929,3
594,927,3
596,916,3
597,869,3
598,691,3
599,659,3
600,851,3
601,852,3
602,917,3
603,919,3
604,819,3
605,820,3
606,918,3
607,920,3
608,853,3
609,682,3
610,673,3
611,679,3
612,875,3
613,714,3
614,843,3
615,835,3
616,888,3
617,950,3
618,700,3
619,703,3
620,721,3
621,881,3
622,862,3
623,860,3
624,745,1083
625,1083,1083
626,818,1083
627,866,3
628,1084,1083
629,704,3
630,658,3
631,911,3
632,863,3
633,884,3
634,845,3
635,879,3
636,855,3
637,825,3
638,868,3
639,803,3
640,737,3
641,956,3
642,689,3
643,802,3
644,699,3
645,763,3
646,905,3
647,1085,3
648,907,3
649,904,3
650,914,3
651,955,3
652,683,3
653,1086,1105
654,844,3
655,945,3
656,839,3
657,895,3
658,1089,3
659,688,3
660,1092,3
661,846,3
662,1093,3
663,849,3
664,735,3
665,752,3
666,965,3
667,938,3
668,878,3
669,877,3
670,827,3
671,795,3
672,708,3
673,829,3
674,830,3
675,952,3
676,733,3
677,1094,3
678,1095,3
679,1096,3
680,1097,3
681,773,3
682,798,3
683,1098,3
684,834,3
685,661,3
686,1099,3
687,1100,3
688,675,3
689,1101,3
690,1102,3
691,1103,3
692,728,3
693,1104,3
694,942,3
695,816,3
696,848,3
697,656,3
698,749,3
699,941,3
700,840,3
701,748,3
702,663,3
703,757,3
704,692,3
705,750,3
706,706,3
707,717,3
708,715,3
709,779,3
710,856,3
711,666,3
712,705,3
713,940,3
714,801,3
715,718,3
716,833,3
