entity_id,field_roles_value
4,"Джеймс Мейберри (James Mayberry)
Нора Хефлин (Nora Heflin)
Тим Уэр (Tim Ware)
Грэйди Казинс (Grady Cousins)
Барри Столц (Barry Stoltze)
Рик Эндоска (Rick Andosca)
Джеймс Буркарт (James Burkart)
Бэрри Миллс (Barry Mills)
Рик Роджерс (Rick Rodgers), Ламар Дэвис (Lamar Davis), Эрнест Моран (Ernest Moran), Марк Карсон (Marc Carson), Кент Юри (Kent Urey), Джули Харман (Julie Harman), Мишель Мари Кортес (Michelle Marie Cortes)
"
6,"Джонатан Прайс (Jonathan Pryce)
Роберт Де Ниро (Robert De Niro)
Кэтрин Хелмонд (Katherine Helmond)
Иэн Холм (Ian Holm)
Боб Хоскинс (Bob Hoskins)
Майкл Пэлин (Michael Palin) "
8,"Никлас Улъфварсoн / Niklas Ulfvarson
Макс Ендерфорс / Max Enderfors
Томми Валликари / Tommy Vallikari
Андреас aФ Энехжелм / Andreas af Enehjelm"
9,"Кати Оутинен, 
Элина Сало, 
Эско Никкари, 
Веса Виерикко, 
Силу Сеппала"
11,"Катя Оутинен
Матти Пеллонраа
Кирси Туккулайнен
Мато Валтонен
Елина Сало
Ирма Юннилайнен"
13,"Александр Кузнецов
Любовь Малиновская
Ирина Ракшина
Лев Дуров
Михаил Васьков
Евгений Евстигнеев
Надежда Смирнова
Александр Галибин
Александр Ануфриев
Евгений Ануфриев
Юрий Гальцев "
154,"
Джет Ли (Jet Li), 
Эрик Тсанг (Eric Tsang), 
Саймон Ям (Simon Yam), 
Гиги Лунг (Gigi Leung), 
Кейджи Сато (Keiji Sato), 
Поль Раповски (Paul Rapovski), 
Квон Ким Юп (Kwong Kim Yip)
	"
155,"
Крис Такер (Chris Tucker), Джеки Чан (Jackie Chan)
	"
156,"
* Николай Караченцов — Пётр I
* Наталья Егорова — Екатерина I/Анна Иоанновна
    * Сергей Шакуров — Александр Меншиков
    * Иван Синицин — Пётр II (в детстве)
    * Дмитрий Веркеенко — Пётр II
    * Нина Русланова — Анна Иоановна (перед восшествием на престол)
    * Инна Чурикова — Анна Иоанновна (с принятием престола)
    * Екатерина Никитина — Елизавета Петровна
    * Ирина Лачина — Анна Петровна
    * Людмила Зайцева — Екатерина Иоанновна
    * Наталья Фатеева — Дарья Меншикова
    * Марина Майко — Мария Меншикова
    * Григорий Анашкин — Меншиков-младший
    * Анна Штукатурова — Анна Леопольдовна (в детстве)
    * Снежанна Полежаева — Анна Леопольдовна
    * Владлен Давыдов — Дмитрий Голицын
    * Алексей Жарков — Алексей Долгорукий
    * Владимир Ильин — Андрей Остерман
    * Георгий Мартынюк — Феофан Прокопович
    * Александр Потапов — Аникита Репнин
    * Вячеслав Гришечкин — Павел Ягужинский
    * Александр Корженков — Фридрих Бассевич
    * Андрей Межулис — Карл-Фридрих Голтштинский
    * Владимир Коппалов — Пётр Толстой
    * Иван Уфимцев, Геннадий Юхтин — Гавриил Головкин
    * Владимир Сошальский , Алексей Краснопольский II — генерал Салтыков
    * Юрий Стосков — Иван Бутурлин
    * Фёдор Добронравов — Фёдор Суров
    * Юрий Кузьменков — Алексей Макаров
    * Владимир Сверба — Блюментрост
    * Алексей Агапов — царевич Алексей Петрович
    * Владимир Привалов — Фёдор Апраксин
    * Андрей Давыдов — Антон Девиер
    * Александр Лазарев (младший) — Бирон Эрнст Иоганн
    * Дмитрий Харатьян — Иван Долгорукий
    * Александр Кахун — Лесток
    * Елизавета Никищихина — камер фрау Крамер
    * Сергей Беребеня — Епископ Любекский
    * Надежда Дружинина — Наталья Алексеевна
    * Олег Масленников — Густав Корф
    * Александр Зуев — Карл Левенвольде
    * Александр Домогаров — Карл Мориц Линар
    * Александр Домогаров - младший — Карл Бирон
    * Надежда Беребеня - княжна Екатерина Долгорукая
    * Анастасия Кочеткова — Юлиана Магнусовна фон Менгден
	"
157,"
Мартин Рапольд (Martin Rapold), 
Майкал Фингер (Michael Finger), 
Клод-оливер Рудольф (Claude-oliver Rudolph), 
Янгзом Брауен (Yangzom Brauen), 
Регула Граувиллер (Regula Grauwiller), 
Пьер Семмлер (Pierre Semmler)
	"
158,"
Брэд Питт (Brad Pitt), 
Джейсон Флеминг (Jason Flemyng), 
Эвен Бремнер (Ewen Bremner), 
Раде Сербеджиа (Rade Serbedzija), 
Майк Рид (Mike Reed), 
Джейсон Стэтхэм (Jason Statham), 
Винни Джонс (Vinnie Jones), 
Элан Форд (Alan Ford), 
Робби Джи (Robbie Gee), 
Джеймс Ленни (Lennie James), 
Бенисио Дель Торо (Benicio Del Toro)
	"
159,"
Стинг (Sting), 
Ник Морэн (Nick Moran), 
Джейсон Флеминг (Jason Flemyng), 
Джейсон Стэтхэм (Jason Statham), 
Декстер Флетчер (Dexter Fletcher)	
	"
160,"
Хелен Миррен (Helen Mirren), 
Джереми Айронс (Jeremy John Irons), 
Патрик Малахайд (Patrick Malahide), 
Тоби Джонс (Toby Jones), 
Хью Дэнси (Hugh Dancy), 
Барбара Флинн (Barbara Flynn)
	"
161,"
Катарина Шуберт, 
Оливер Стоковски, 
Нина Монка, 
Леони Брилл, 
Тамино Веккер, 
Аксель Праль
	"
162,"
Режиссер: Андрей Зайцев
В ролях: Алексей Петренко, Алексей Филимонов, Ричард Бондарев
	"
163,""
164,"
Эмма Суарес (Emma Suarez), 
Кармело Гомес (Carmelo Gomez), 
Фернандо Конде (Fernando Conde), 
Ана Дьуато (Ana Duato), 
Хуан Джи (Juan Gea), 
Мэйти Бласко (Maite Blasco),
Рафаэль Алонсо (Rafael Alonso), 
Бланка Портильо (Blanca Portillo)
	"
165,"
Юлий Цезарь - дама Джанет Бейкер / Dama Janet Baker, 
Клеопатра - Валери Мастерсон / Valerie Masterson, 
Корнелия - Сара Уокер / Sarah Walker, 
Секст - Делла Джонс / Della Jones, 
Птолемей - Джеймс Боумен / James Bowman, 
Ахилла - Джон Томлинсон / John Tomlinson, 
Курион - Джон Китчинер / John Kitchiner, 
Нирено - Том Эмлин Уильямс / Tom Emlyn Williams. 
	"
166,"
В ролях: Don Giovanni - Rodney Gilfrey
Leporello - Laszlo Polgár
Donna Anna - Isabel Rey
Donna Elvira - Cecilia Bartoli
Don Ottavio - Roberto Saccà
Zerlina - Liliana Nikiteanu
Masetto - Oliver Widmer
Il Commendatore - Matti Salminen
Описание: Chorus and orchestra of the Opernhaus Zurich
Дирижёр - Nikolaus Harnoncourt
	"
167,"
Leporello - Rene Pape
Donna Anna - Anna Samuil
Don Giovanni - Bryn Terfel
Commendatore - Thomas Quasthoff
Don Ottavio - Michael Schade
Donna Elvira - Annette Dasch
Zerlina - Sylvia Schwartz
Masetto - Robert Gleadow

Verbier Festival Orchestra
Collegiate Chorale

Manfred Honeck, direction
	"
168,"
Исполнитель: 
Кэтлин Бэттл, 
Лео Нуччи, 
Роквелл Блейк, 
Энцо Дара, 
Ферруччо Фурланетто, 
Лоретта Ди Франко, 
Дэвид Гамильтон, 
Эдвард Газаль, 
Чарльз Энтони
	"
169,""
170,"
Юрий Чурсин, 
Виталий Хаев, 
Анна Михалкова, 
Лия Ахеджакова, 
Марина Голуб, 
Марат Башаров, 
Максим Коновалов, 
Андрей Фомин, 
Федор Добронравов, 
Александр Ильин, 
Игорь Гаспарян
	"
171,"
Энрике Иразоки /Enrique Irazoqui/, 
Маргерита Карузо /Margherita Caruso/, 
Сюзанна Пазолини /Susanna Pasolini/, 
Марчелло Моранте /Marcello Morante/, 
Марио Сократе /Mario Socrate/, 
Сеттимо Ди Порто /Settimo Di Porto/, 
Отелло Сестили /Otello Sestili/, 
Ферруччо Нуччо /Ferruccio Nuzzo/, 
Джакомо Моранте /Giacomo Morante/, 
Альфонсо Гатто /Alfonso Gatto/ и др.
	"
172,"
	"
173,"
Ф. Мюрей Абрахам (F. Murray Abraham), 
Кенни Бэйкер (Kenny Baker), 
Том Халс (Tom Hulce), 
Кристина Эберсоул (Christine Ebersole), 
Джеффри Джонс (Jeffrey Jones), 
Саймон Кэллоу (Simon Callow), 
Элизабет Берридж (Elizabeth Berridge), 
Рой Дотрайс (Roy Dotrice), 
Винсент Скиавелли (Vincent Schiavelli), 
Чарлз Кэй (Charles Kay), 
Лизабет Бартлетт (Lisabeth Bartlett), 
Барбара Брайн (Barbara Bryne), 
Гана Брейхова (Hana Brejchova)
	"
174,"
Криc О`Дауд /Chris O&#39;Dowd/, Анна Фэрис /Anna Faris/, Марк Вуттон /Marc Wootton/, Дин Леннокс Келли /Dean Lennox Kelly/, Мередит МакНейл /Meredith MacNeill/, Рэй Гарднер /Ray Gardner/, Ник Ивэнс /Nick Ewans/, Артур Найтингейл /Arthur Nightingale/
"
175,"
Хайнц Рюманн, Мартин Хельд, Ханнелор Шрот, Willy A. Kleinau, Leonard Steckel, Фридрих Домин, Erich Schellow, Вальтер Гиллер, Вольфган Нойс, Бум Крюгер
	"
176,""
