entity_id,field_year_value
4,1994
6,1985
8,2004
9,1990
11,1994
13,1986
661,1998
662,2005
663,2008
668,2001
669,2009
671,1976
673,1964
675,1984
678,2008-2010
679,1991
681,1971
682,2001
684,1980
685,1979
686,1927
687,1924
691,2002-2003
692,1958
697,1972
699,2005
706,1999
707,2007
711,2008
718,2000
719,1988
720,1965
721,2002
725,2000
727,2006
728,2005
729,1975
730,1967
735,1984
739,2001
740,1915
742,2007
745,2003
747,1922
749,1998
750,2008
751,2009
758,2000
769,1998-2012
779,1992
781,2008
785,2003
791,1964
793,1977
798,2004
806,1968
808,1917
809,1919
810,1928
811,1920
818,2007
819,1974
822,2009
824,2003
827,2001
828,1973
830,1988
831,1938
832,1999
834,2002
840,1936
841,1966
843,2002
845,1966
846,2002
847,1990
855,1972
857,1975
858,2003
859,2010
863,2002
865,2008
866,1988
869,2002
870,2009
871,2005
876,1961
877,1999
880,2000
881,1994
885,1985
893,1992
894,2003
896,2008
901,1975
903,1975
904,1994
905,1995
907,1992
908,1987
909,2002
911,2001
916,2002
919,1999
920,2003
921,1990
922,1988
924,1993
925,1986
927,1970
929,2007
930,2003
931,2010
932,1998
935,1984
938,1985
941,1999
944,1980
945,1991
948,1997
950,1994
952,2002
953,2004
956,2008
960,2011
961,1985
963,1994
965,1986
967,2009
980,2001
986,1986
1005,1974
1048,2009
1053,2008
1054,2009
1080,2003
1081,1984
1085,1987
1094,1987
1098,1940
1100,2004
1102,2007
1103,2007
1108,1998
1125,2007
1152,2006
1166,1988
1168,2009
1176,1999
1187,2010
1206,1997
1207,1963
1212,1986
1214,2004
966,2003
748,2005
942,2007
734,2006
659,2009
962,2011
897,1995
704,1987
914,2005
912,2000
1095,1991
1099,2006
860,1987
1230,2005
878,1999
1107,2004
1001,1972
1215,2013
773,2001
12,2001
875,2003
1096,1976
1093,1985
873,1962
1233,1985
1201,2011
1235,1987
1238,2014
658,2000-2011
864,1999
934,1996
683,1972
889,1991
890,1993
1239,2014
1241,2015
1243,1990
848,1963
964,2006
676,2009
1199,2006
891,1998
1038,1989
936,2008
656,1998
737,1986
915,1971
884,1998
1247,2014
677,1956
688,1944
1250,2015
1251,2007
1252,2004
888,1988
987,1996
990,1996
680,2000
698,2006
933,2009
1110,2012
833,2001
795,1964
854,1998
937,2006
853,1998
906,2010
784,2007
1234,1935
753,1967
1217,1973
821,2004
829,1986
1050,1996
1051,2008
815,1995
782,2008
820,1975
917,2007
918,1984
1200,2007
705,2010
1109,1958
940,2009
715,2006
803,1934
1179,1995
792,2008
814,1964
861,2003
1104,2008
1240,2014
969,2009
696,2003
744,2009
743,2005
1208,2005
1188,2007
1126,2005
968,2008
1049,2008
1045,2006
1044,2004
826,2000
813,2008
800,2001
689,2002
755,2000
759,2002
665,2008
757,1992-94
756,2007
839,2010
802,2003
801,2003
775,1983
981,1995
1216,1984
835,1999
923,2008
1043,1984
836,1980
1042,2006
852,1971
851,1972
1213,1979
1244,2013
1255,2012
892,1976
879,2003
674,1990
887,2005
899,1997
660,2000
1254,1952
731,1966
746,2005
1242,2015
1101,2011
664,2010
874,1982
702,1980
733,2006
1253,1986
1237,2014
1236,2009
1229,2012
989,1997
796,1968
844,2001
695,1918
900,2000
7,2009
1248,2015
1245,2006
825,1981
898,2002
10,1996
723,1965
716,2004
913,2007
666,1996
1249,1932
872,1971
1231,2012
722,1966
883,1924
926,1979
