nid,tid
4,4
4,28
4,22
6,43
6,5
6,15
6,94
6,22
8,33
8,4
8,5
8,75
8,150
8,27
9,4
9,42
9,16
9,22
11,4
11,5
11,93
11,16
11,61
11,70
11,22
13,5
13,22
661,5
661,13
661,158
661,60
661,148
661,22
661,27
662,33
662,96
662,54
662,60
662,66
662,22
663,4
663,61
663,150
663,22
668,49
668,83
668,51
668,85
668,22
669,49
669,51
669,22
670,49
670,83
670,51
670,22
671,49
671,51
671,85
671,25
672,4
672,5
672,68
672,22
673,4
673,111
673,67
673,89
673,150
673,22
675,4
675,96
675,160
675,66
678,32
678,68
678,22
679,39
679,96
679,12
679,123
679,61
679,62
679,89
679,27
681,4
681,13
681,43
681,56
681,60
681,66
681,22
682,4
682,66
682,22
684,96
684,5
684,42
684,175
684,134
684,140
684,174
684,176
684,82
684,73
684,27
685,5
685,42
685,175
685,140
685,176
685,45
685,73
685,22
686,43
686,61
686,150
686,22
687,4
687,43
687,73
687,22
691,5
691,14
691,117
691,43
691,106
691,68
691,22
692,96
692,5
692,61
692,22
697,5
697,28
697,12
697,62
697,22
699,96
699,117
699,39
699,4
699,22
699,68
706,4
706,76
706,22
707,4
707,96
707,165
707,62
707,150
707,22
708,43
708,12
708,39
708,22
708,60
709,32
709,172
709,201
709,63
709,22
711,32
711,66
711,22
712,37
712,4
712,43
712,26
713,5
713,28
713,122
713,69
713,22
718,5
718,28
718,89
718,22
719,5
719,28
719,112
719,150
719,22
720,169
720,4
720,96
720,73
720,22
721,42
721,114
721,150
721,22
724,5
724,196
724,180
724,136
724,195
724,194
724,139
724,80
724,73
724,22
725,37
725,4
725,12
725,66
725,27
727,68
728,39
728,96
728,68
728,22
729,5
729,175
729,140
729,136
729,179
729,152
729,45
729,73
729,22
730,4
730,14
730,67
730,89
730,150
730,22
735,39
735,74
735,66
738,4
738,5
738,13
738,155
738,44
738,60
739,28
739,65
739,22
740,5
740,28
740,157
740,66
740,22
741,32
741,172
741,201
741,68
741,25
742,32
742,172
742,68
742,22
745,5
745,137
745,14
745,112
745,60
745,89
745,22
747,5
747,28
747,157
747,66
747,22
749,13
749,161
749,66
749,22
750,4
750,112
750,89
751,4
751,13
751,22
752,117
752,32
752,22
752,66
758,42
758,71
758,67
758,75
758,148
758,22
763,32
763,96
763,61
763,22
769,33
769,32
769,60
769,68
769,22
777,32
777,173
777,60
777,22
779,4
779,13
779,22
781,31
781,5
781,66
781,22
785,37
785,63
785,22
791,5
791,56
791,60
791,22
793,5
793,198
793,199
793,140
793,152
793,45
793,73
793,22
798,37
798,4
798,96
798,156
798,22
806,5
806,129
806,136
806,73
806,22
808,5
808,28
808,157
808,66
808,22
809,5
809,28
809,157
809,66
809,22
810,43
811,5
811,28
811,187
811,66
811,22
818,5
818,137
818,138
818,22
819,4
819,43
819,122
819,69
819,22
822,32
822,60
822,22
824,4
824,96
824,107
824,68
824,22
827,5
827,54
827,189
827,147
827,61
827,89
827,22
828,5
828,117
828,140
828,152
828,81
828,73
828,22
830,5
830,22
830,66
831,5
831,60
831,22
832,169
832,4
832,96
832,66
832,22
834,37
834,4
834,159
834,63
834,22
840,5
840,157
840,66
840,22
841,96
841,5
841,119
841,110
841,73
841,22
843,42
843,119
843,107
843,68
843,22
845,96
845,4
845,22
845,128
846,53
846,5
846,22
846,61
846,60
846,66
847,96
847,135
847,73
847,22
855,4
855,61
855,22
857,4
857,96
857,56
857,60
857,22
858,5
858,42
859,4
859,68
859,22
862,4
862,107
862,68
862,22
863,39
863,4
863,66
863,22
865,4
865,53
865,22
866,4
866,5
866,73
866,22
868,37
868,43
868,66
868,22
868,27
869,4
869,60
869,61
869,89
869,22
870,33
870,4
870,97
870,68
870,22
871,43
871,68
871,22
876,5
876,129
876,133
876,132
876,82
876,73
876,22
877,5
877,66
877,22
880,5
880,54
880,199
880,45
880,68
880,22
881,108
881,68
881,89
885,5
885,66
885,22
893,32
893,188
893,66
893,27
894,32
894,60
894,22
896,4
896,60
896,66
896,22
901,5
901,57
901,15
901,22
903,4
903,191
903,124
903,160
903,66
903,148
903,22
903,27
904,13
904,5
904,142
904,144
904,22
904,66
905,37
905,5
905,13
905,74
905,66
905,22
907,4
907,13
907,143
907,144
907,142
907,66
907,22
908,4
908,56
908,22
909,12
909,43
909,22
910,5
910,183
910,181
910,182
910,89
910,22
911,5
911,183
911,182
911,89
911,22
916,115
916,116
919,4
919,42
919,122
919,69
919,22
920,5
920,28
920,122
920,61
920,69
920,22
921,5
921,107
921,106
921,73
921,22
922,5
922,108
922,106
922,73
922,22
924,5
924,106
924,68
924,89
924,22
925,5
925,106
925,73
925,22
927,4
927,113
927,22
927,75
929,42
929,113
929,61
929,71
929,114
929,89
929,75
929,22
930,4
930,156
930,22
931,4
931,13
931,68
931,22
932,4
932,5
932,166
932,131
932,68
932,22
935,4
935,133
935,135
935,73
935,22
938,96
938,14
938,4
938,22
938,114
938,73
941,4
941,96
941,61
941,22
944,5
944,22
945,5
945,68
945,22
946,42
946,144
946,66
946,22
948,4
948,36
948,65
948,61
948,22
950,4
950,43
950,134
950,135
950,68
950,22
952,4
952,5
952,68
952,22
953,4
953,96
953,65
953,61
953,67
953,22
956,96
956,117
956,32
956,22
956,68
958,32
958,172
958,25
959,32
959,172
959,25
960,5
960,28
960,15
960,22
961,33
961,4
961,22
963,4
963,35
963,36
963,22
965,5
965,38
967,5
967,28
967,22
979,48
979,49
979,83
979,24
980,14
980,54
980,4
980,22
986,42
986,58
986,22
1005,5
1005,57
1005,15
1005,60
1005,22
1012,5
1012,57
1013,48
1013,49
1013,83
1013,68
1013,25
1016,48
1016,49
1016,83
1017,48
1017,49
1017,83
1017,84
1025,48
1025,49
1025,83
1025,85
1025,25
1027,48
1027,49
1027,83
1027,86
1027,25
1029,48
1029,83
1029,49
1029,25
1030,48
1030,49
1030,83
1030,25
1032,48
1032,83
1032,49
1032,25
1034,48
1034,49
1034,83
1034,25
1036,49
1036,83
1036,22
1048,32
1048,173
1048,60
1053,5
1053,28
1053,60
1053,24
1054,4
1054,28
1054,68
1054,24
1060,48
1060,49
1060,100
1060,25
1061,48
1061,49
1061,101
1061,68
1061,23
1062,49
1062,48
1062,23
1063,48
1063,49
1063,100
1063,25
1064,49
1064,48
1064,23
1065,49
1065,100
1065,48
1065,25
1066,49
1066,100
1066,48
1066,25
1067,49
1067,100
1067,25
1068,49
1068,100
1068,48
1068,25
1069,49
1069,101
1069,48
1069,25
1070,49
1070,101
1070,48
1070,25
1071,48
1071,49
1071,100
1071,25
1072,49
1072,102
1072,48
1072,22
1073,49
1073,102
1073,48
1073,22
1074,48
1074,49
1074,22
1080,96
1080,117
1080,32
1080,27
1080,68
1081,48
1081,5
1081,103
1081,104
1081,68
1081,73
1081,22
1084,137
1084,73
1084,22
1085,5
1085,142
1085,66
1085,22
1087,146
1087,167
1088,146
1088,167
1089,117
1089,5
1089,57
1089,22
1089,60
1092,32
1092,22
1092,68
1094,4
1094,14
1094,114
1094,148
1094,22
1097,4
1097,96
1097,68
1097,22
1098,96
1098,5
1098,157
1098,60
1098,150
1098,22
1100,4
1100,96
1100,54
1100,159
1100,63
1100,148
1100,27
1102,5
1102,119
1102,63
1102,150
1102,22
1103,96
1103,5
1103,43
1103,35
1103,63
1103,150
1103,22
1108,169
1108,4
1108,168
1108,66
1108,22
1111,48
1111,23
1112,48
1112,49
1112,22
1113,48
1113,49
1116,48
1117,48
1118,48
1119,48
1120,48
1121,48
1122,5
1122,137
1122,23
1123,48
1123,22
1124,48
1124,22
1125,48
1125,32
1125,172
1125,201
1125,60
1127,5
1127,88
1127,22
1128,48
1130,48
1131,5
1132,48
1133,48
1134,48
1135,48
1136,48
1137,48
1138,48
1139,48
1140,48
1142,48
1143,48
1144,48
1145,48
1145,28
1145,113
1145,75
1145,22
1146,48
1147,48
1148,48
1149,48
1150,48
1151,48
1152,48
1153,48
1154,48
1155,48
1155,25
1156,48
1160,48
1162,48
1163,48
1164,48
1165,48
1166,4
1166,117
1166,193
1166,150
1166,22
1167,5
1167,28
1167,192
1168,5
1168,28
1168,68
1168,22
1170,48
1170,49
1171,48
1172,48
1173,48
1174,48
1175,48
1176,4
1176,96
1176,89
1176,148
1176,27
1177,5
1177,117
1177,66
1177,22
1178,48
1180,48
1181,48
1182,48
1183,48
1184,48
1185,48
1186,48
1187,32
1187,68
1187,22
1189,48
1189,49
1190,48
1190,49
1191,48
1192,48
1193,48
1194,48
1195,48
1196,48
1197,48
1198,48
1202,48
1203,5
1203,68
1205,5
1206,5
1206,117
1206,106
1207,43
1207,73
1209,48
1210,48
1211,5
1212,33
1212,96
1212,117
1212,73
1212,22
1214,12
1214,43
1214,68
1214,22
1114,48
1114,22
1129,48
1059,48
1059,49
1059,98
1059,99
1059,25
717,5
717,164
717,14
717,43
717,179
717,81
717,73
717,22
966,39
966,4
966,5
966,38
966,69
966,27
966,232
966,241
748,4
748,100
748,14
748,161
748,66
748,22
748,226
748,244
942,14
942,12
942,43
942,44
942,60
942,22
942,224
942,243
1115,48
1115,226
734,5
734,14
734,68
734,22
734,249
1228,49
659,43
659,118
659,22
659,209
659,232
962,4
962,47
962,60
962,61
962,67
962,68
962,66
962,63
962,22
962,248
886,5
886,66
886,22
886,243
886,249
897,37
897,4
897,96
897,66
897,22
897,208
897,249
