tid,vid,name
2,2,"режиссер"
3,2,"по жанру"
4,2,"драма"
5,2,"комедия"
12,2,"триллер"
13,2,"криминал"
14,2,"приключения"
15,2,"Терри Гиллиам"
16,2,"Аки Каурисмяки"
17,2,"Михаил Марескин"
18,2,"Джерри Цукер"
21,2,"формат"
22,2,avi
23,2,mpg
24,2,mp4
25,2,flv
26,2,mov
27,2,mkv
28,2,"короткометражный"
31,2,unsort
32,2,"документальный"
33,2,"биография"
35,2,"философская притча"
36,2,"Михаэль Ханеке"
37,2,"Боевик"
38,2,"Алекс Ван Вармердам"
39,2,"детектив"
42,2,"трагикомедия"
43,2,"фантастика"
44,2,"Бойл, Дэнни"
45,2,"Данелия, Георгий"
46,2,"Абрахамс, Джим"
47,2,"Сокуров, Александр"
48,2,"видеоклипы"
49,2,"музыкальное видео"
50,2,Saint-Saens
51,2,"опера"
52,2,"Аронофски, Даррен"
53,2,"Спорт"
54,2,"мелодрама"
55,2,"Балабанов, Алексей"
56,2,"Кубрик, Стэнли"
57,2,"Монти Питон"
58,2,"Шахназаров, Карен"
59,2,"страна"
60,2,"Великобритания"
61,2,"Германия"
62,2,"Испания"
63,2,"Япония"
64,2,"Хорватия"
65,2,"Австрия"
66,2,"США"
67,2,"Италия"
68,2,"Россия"
69,2,"Нидерланды"
70,2,"Финляндия"
71,2,"Дания"
72,2,"Босния-Герцеговина"
73,2,"СССР"
74,2,"Мексика"
75,2,"Швеция"
76,2,"Португалия"
77,2,"Гонконг"
79,2,"Индия"
80,2,"Гайдай, Леонид"
81,2,"Быков, Ролан"
82,2,"Рязанов, Эльдар"
83,2,"классика"
84,2,"Вивальди"
85,2,"Моцарт"
86,2,"Гендель"
87,2,"Россини, Джоаккино"
88,2,"Австралия"
89,2,"Франция"
90,2,"по персоналиям"
91,2,"актер"
92,2,"композитор"
93,2,"Катя Оутинен"
94,2,"Роберт Де Ниро"
95,2,"Алексей Полуян"
96,2,"история"
97,2,"Волошин, Игорь"
98,2,"фолк"
99,2,Psalteria
100,2,"панк"
101,2,"русский рок"
102,2,"хип-хоп"
103,2,"клоунада"
104,2,"Лицедеи"
105,2,"Тарковский, Андрей"
106,2,"Мамин, Юрий"
107,2,"Сухоруков, Виктор"
108,2,"Михайлов, Виктор"
109,2,"Маковецкий, Сергей"
110,2,"Юрский, Сергей"
111,2,"Пазолини, Пьер Паоло"
112,2,"Бельгия"
113,2,"Андерссон, Рой"
114,2,"Норвегия"
115,2,"Мягков, Андрей"
116,2,"Филатов, Леонид"
117,2,"сериал"
118,2,"Швейцария"
119,2,"экранизация"
120,2,"Эротика"
121,2,"Украина"
122,2,"Стеллинг, Йос"
123,2,"Ларс Фон Триер"
124,2,"Николсон, Джек"
125,2,"Епифанцев, Владимир"
126,2,"Ефремов, Михаил"
127,2,"Охлобыстин, Иван"
128,2,"Польша"
129,2,"Евстигнеев, Евгений"
130,2,"Карцев, Роман"
131,2,"Бортко, Владимир"
132,2,"Папанов, Анатолий"
133,2,"Миронов, Андрей"
134,2,"Гафт, Валентин"
135,2,"Филиппенко, Александр"
136,2,"Куравлев, Леонид"
137,2,"мультфильм"
138,2,"Исландия"
139,2,"Юрий Яковлев"
140,2,"Евгений Леонов"
141,2,ogv
142,2,"Квентин Тарантино"
143,2,"Стив Бушеми"
144,2,"Тим Рот"
145,2,"Никита Михалков"
146,2,"видеоуроки"
147,2,"Жан-Пьер Жене"
148,2,"субтитры"
149,2,"Доминик Пинон"
150,2,srt
151,2,"Георгий Вицин"
152,2,"Савелий Крамаров"
153,2,"Канада"
154,2,"Сэмюэл Л. Джексон"
155,2,"Роберт Карлайл"
156,2,"Корея"
157,2,"Чарльз Чаплин"
158,2,"Гай Ритчи"
159,2,"Ёдзи Ямада"
160,2,"Милош Форман"
161,2,"Ларри Кларк"
162,2,"Бразилия"
163,2,"Люксембург"
164,2,"мюзикл"
165,2,"Пилар Лопез"
166,2,"Николай Караченцов"
167,2,"программирование"
168,2,"Сербия"
169,2,"война"
171,2,"Турция"
172,2,"Наука и техника"
173,2,"Космос"
174,2,"Зиновий Гердт"
175,2,"Борислав Брондуков"
176,2,"Олег Басилашвили"
177,2,"Анатолий Солоницын"
178,2,"Юрий Никулин"
179,2,"Николай Гринько"
180,2,"Владимир Этуш"
181,2,"Пьер Ришар"
182,2,"Франсис Вебер"
183,2,"Жерар Депардье"
184,2,"Ирландия"
185,2,"Новая Зеландия"
186,2,"Владимир Маяковский"
187,2,"Харольд Лойд"
188,2,"Рон Фрике"
189,2,"Урбен Канселье"
190,2,"Жерар Кравчик"
191,2,"Дэнни Де Вито"
192,2,"Бастер Китон"
193,2,"Югославия"
194,2,"Сергей Филиппов"
195,2,"Михаил Пуговкин"
196,2,"Александр Демьяненко"
198,2,"Арчил Гомиашвили"
199,2,"Вахтанг Кикабидзе"
200,2,"Джеральд Даррелл"
201,2,"роботы"
202,2,"Марк Захаров"
203,2,"Александр Абдулов"
204,2,"Семен Фарада"
205,3,eng
206,3,rus
207,3,A
208,3,B
209,3,C
210,3,D
211,3,E
212,3,F
213,3,G
214,3,H
215,3,I
216,3,J
217,3,K
218,3,L
219,3,M
220,3,N
221,3,O
222,3,Q
223,3,R
224,3,S
225,3,T
226,3,W
227,3,Y
228,3,Z
229,3,"А"
230,3,"Б"
231,3,"В"
232,3,"Г"
233,3,"Д"
234,3,"Е"
235,3,"Ж"
236,3,"З"
237,3,"И"
238,3,"К"
239,3,"Л"
240,3,"М"
241,3,"Н"
242,3,"О"
243,3,"П"
244,3,"Р"
245,3,"С"
246,3,"Т"
247,3,"У"
248,3,"Ф"
249,3,"Х"
250,3,"Ц"
251,3,"Ч"
252,3,"Ш"
253,3,"Щ"
254,3,"Э"
255,3,"Ю"
256,3,"Я"
257,3,num
258,3,0
259,3,1
260,3,2
261,3,3
262,3,4
263,3,5
264,3,6
265,3,7
266,3,8
267,3,9
268,3,P
269,2,"Китай"
270,2,"Хайнц Рюманн"
271,1,"not used video"
272,1,youtube
273,1,"год выпуска"
274,1,1952
275,1,2013
276,1,2012
277,1,2011
278,1,2010
279,1,2009
280,1,2008
281,1,2007
282,1,2006
283,1,2005
284,1,2003
285,1,2002
286,1,2001
287,1,2000
288,1,1999
289,1,1959
290,1,1964
291,1,1978
292,1,1989
293,1,1976
294,1,1990
295,1,1997
296,2,"Джон Клиз"
297,1,1988
298,2,"Кайдановский Александр"
299,1,1979
300,1,1972
301,1,1966
302,1,2015
304,1,1982
305,1,1980
306,1,1986
307,1,2014
308,1,1968
309,1,1918
