tid,parent
2,90
3,0
4,3
5,3
12,3
13,3
14,3
15,2
16,2
17,2
18,2
21,0
22,21
23,21
24,21
25,21
26,21
27,21
28,3
31,0
32,3
33,3
35,3
36,2
37,3
38,2
39,3
42,3
43,3
44,2
45,2
46,2
47,2
48,3
50,92
51,83
52,2
53,3
54,3
55,2
56,2
57,5
58,2
59,0
60,59
61,59
62,59
63,59
64,59
65,59
66,59
67,59
68,59
69,59
70,59
71,59
72,59
73,59
74,59
75,59
76,59
77,59
79,59
80,2
81,2
82,2
83,49
84,92
85,92
86,92
87,92
88,59
89,59
90,0
91,90
92,90
93,91
94,91
95,91
96,3
97,2
98,49
99,90
100,49
101,49
102,49
103,5
104,91
105,2
106,2
107,91
108,91
109,91
110,91
111,2
112,59
113,2
114,59
115,91
116,91
117,3
118,59
119,3
120,3
121,59
122,2
123,2
124,91
125,91
126,91
127,91
128,59
129,91
130,91
131,2
132,91
133,91
134,91
135,91
136,91
137,3
138,59
139,91
140,91
141,21
142,2
143,91
144,91
145,91
146,3
147,2
148,0
149,91
150,148
151,91
152,91
153,59
154,91
155,91
156,59
157,2
158,2
159,2
160,2
161,2
162,59
163,59
164,3
165,91
166,91
167,146
168,59
169,3
171,59
172,32
173,32
174,91
175,91
176,91
177,91
178,91
179,91
180,91
181,91
182,2
183,91
184,59
185,59
186,90
187,91
188,2
189,91
190,2
191,91
192,91
193,59
194,91
195,91
196,91
198,91
199,91
200,90
201,172
202,2
203,91
205,0
206,0
207,205
208,205
209,205
210,205
211,205
212,205
213,205
214,205
215,205
216,205
217,205
218,205
219,205
220,205
221,205
222,205
223,205
224,205
225,205
226,205
227,205
228,205
229,206
230,206
231,206
232,206
233,206
234,206
235,206
236,206
237,206
238,206
239,206
240,206
241,206
242,206
243,206
244,206
245,206
246,206
247,206
248,206
249,206
250,206
251,206
252,206
253,206
254,206
255,206
256,206
257,0
258,257
259,257
260,257
261,257
262,257
263,257
264,257
265,257
266,257
267,257
268,205
269,59
270,91
271,0
49,3
204,91
272,0
274,273
273,0
275,273
276,273
277,273
278,273
279,273
280,273
281,273
282,273
283,273
284,273
285,273
286,273
287,273
288,273
289,273
290,273
291,273
292,273
293,273
294,273
295,273
296,91
297,273
298,91
299,273
300,273
301,273
302,273
304,273
305,273
306,273
307,273
308,273
309,273
310,273
311,273
312,273
313,273
314,273
315,273
316,273
