entity_id,body_value
1,"[video: index=0]
<!-- START OF THE PLAYER EMBEDDING TO COPY-PASTE -->
<div id=""mediaplayer"">JW Player goes here</div>
<script type=""text/javascript"" src=""/transcend/0_sites/video/sites/all/libraries/jwplayer/jwplayer.js""></script>
	<script type=""text/javascript"">
		jwplayer(""mediaplayer"").setup({
			flashplayer: ""/transcend/0_sites/video/sites/all/libraries/jwplayer/player.swf"",
			//file: ""/sites/video/sites/default/files/test.avi"",
			//file: ""/sites/video/sites/default/files/video.mp4"",
			//file: ""http://mycomp/video/kvn,fun/rufinad.flv"",
			//file: ""http://mycomp/video/kvn,fun/zp%5B1%5D.avi"",
			//file: ""http://mycomp/video/mult/Killer%20Bean%202.avi"",
			//file: ""http://mycomp/video/mult/maslennitca.mpg"",
			//file: ""http://mycomp/video/mult/hippo.flv"",
			image: ""preview.jpg"",
    'id': 'playerID',
    'width': '650',
    'height': '240',
    'playlistfile': '/transcend/0_sites/video/sites/all/libraries/jwplayer/playlist.xml',
    'playlist.position': 'right',
    'playlist.size': '250',
    'controlbar': 'over'
		});
</script>
<!-- END OF THE PLAYER EMBEDDING -->

<div>uflvplayer<br>
<object type=""application/x-shockwave-flash"" data=""/transcend/0_sites/video/sites/all/libraries/uflvplayer_500x375.swf"" height=""340"" width=""400"">
	<param name=""bgcolor"" value=""#FFFFFF"" />
	<param name=""allowFullScreen"" value=""true"" />
	<param name=""allowScriptAccess"" value=""always"" />
	<param name=""movie"" value=""/sites/video/sites/all/libraries/uflvplayer_500x375.swf"" />
	<param name=""FlashVars"" 
value=""way=http://mycomp/video/mult/burevestnik.flv&amp;swf=players/uflvplayer_500x375.swf&amp;w=400&amp;h=340&amp;pic=&amp;autoplay=0&amp;tools=1&amp;skin=greyblack&amp;volume=70&amp;q=&amp;comment="" />
</object>
</div>

"
4,"<img src=""/video/0_covers/mr.mcallisters_cigarette_holder.jpg"">

<pre>
Единственная режиссерская работа голливудского редактора Джона Дэвида Аллена, 
поставленная им по замечательной одноименной новелле Марка Стедмана. Мягкая сепия, эффект выцветших фотографий, джинсы, земля и самокрутки: провинциальная кино-Америка времен Великой депрессии. Гордость мистера Макаллистера – его уникальный мундштук, с которым не расстается много-много лет. Только песня совсем не о том... А, как обычно, о любви. И о тех мелочах, в которых познается ее глубина.

Castleway Films
Сценаристы:
Марк Стэдмен (Mark Steadman), Вэйд Стэдмен (Wade Steadman)
Продюссеры:
Кейт Кроффорд (Keith Crofford), Алан Джеймс Гэй (Alan James Gay)
</pre>"
6,"<img src=""/video/0_covers/brazil_eng_rus.jpg""/>
<pre>
Сэм Лоури – крошечный винтик в огромной заржавевшей бюрократической машине 
тоталитарного государства будущего. Сэм старается не лезть в неприятности, 
но однажды, заметив ошибку в документе, которая может привести к аресту 
невинного человека, он решает исправить ее. Благое намерение скромного клерка 
неожиданно для него вызывает целую лавину странных совпадений и загадочных событий, 
и вскоре выясняется, что крошечная опечатка способна пошатнуть 
могучего колосса на глиняных ногах... 
</pre>
<img src=""/video/0_covers/"">
<?
//echo ""arg(0) == "".arg(0);
if (arg(0) == 'node')
{
	echo ""<h2>local url</h2>"";
	$node=node_load(arg(1));
//echo ""<pre>"";
//print_r($node);
//print_r($node->field_preview_img);
//print_r($node->field_url);
//print_r($node->field_subfolder);
//print_r($node->field_filename);
//echo ""</pre>"";

	//$site = ""http://localhost"";
	$site = ""file:///mnt/terra"";
	//$site = ""file://m:"";
for ($n1=0; $n1 < count($node->field_filename['und']); $n1++)
{

//	echo ""<li><a href='""
//.$site.""/"".$node->field_subfolder['und'][0]['value'].""/""
//.$node->field_filename['und'][$n1]['value'].""' target=_blank>""
//.$node->field_filename['und'][$n1]['value'].""</a></li>"";

//-----------------------------------------------------------------------
	$file=explode(""#"",$node->field_filename['und'][$n1]['value']);
//echo ""file = <pre>"";
//print_r($file);
//echo ""</pre>"";
	if (!empty($file[1]))
	{
		$link_text=$file[1];
	}
	else
	{
		$link_text=$file[0];
	}

	echo ""<li><a href='""
.$site.""/"".$node->field_subfolder['und'][0]['value'].""/"".$file[0].""' target=_blank>""
.$link_text.""</a></li>"";
}

}
?>


"
8,"<pre>
Перевод: Субтитры (Avrelius)
Cубтитры: русские (внешние); шведские, финские, датские, норвежские (встроенные)
Оригинальная аудиодорожка: шведский, финский

История дружбы между Матти и Ниилa, от начала и до конца. Они живут в Паяле, Швеция, у границы с Финляндией. Очень интересная повесть о жизни этой общины

Доп. информация: Экранизация книги молодого, но необычайно популярного писателя Микаэля Ниеми (р. 1959 г.), которого называют шведским Сэлинджером, рассказывает о мире его детства - деревушке Паяле на самом севере Швеции, где люди живут не торопясь, в соответствие с издавна сложившимися устоями и традициями, и куда постепенно проникает цивилизация, меняющая и жизненный уклад, и отношения между людьми. Полная смешных и забавных ситуаций, книга написана живым, сочным языком. Герои Ниеми не стесняются в выражениях, но ведь это не сцены из жизни английских лордов...

670 тысяч шведов купили книгу Микаэля Ниеми `Популярная музыка из Виттулы`. Паяле стала новой туристической Меккой. В туристических агентствах толпились люди, желавшие своими глазами увидеть Сучье болото, Паскаянкку, Лестадианский спуск, побывать в зале, где домохозяйки занимаются гимнастикой.
</pre>"
9,"<pre>
<img src=""/video/0_covers/devushka_aki_k.png"">

Это новое воплощение андерсеновской ""маленькой спичечной девочки"" - воплощение, полное тихого ужаса перед жизнью и вместе с тем дарящее катарсис, от которого, как утверждают знатоки, сладко затрещали бы кости Аристотеля. Классическая трагедия маленького человека. Современный финский вариант одной из вечных русских тем, так любимой нашими классиками. Каждый из героев живет в своем особом мире, не впуская в него даже самых близких людей, боясь порвать толстую оболочку, помочь другому и самому найти опору в ближнем. Минимум диалогов и кадры работы станков на спичечной фабрике усиливают унылое настроение всей картины.

http://rutracker.org/forum/viewtopic.php?t=1548781
</pre>"
11,"<pre>
Замечательный фильм, в котором традиционная народная отмороженность 
двух главных героев - финских рокеров средних лет, обладателей 
автомобиля ""Волга"" 1965 года выпуска - сочетается с наивной восторженностью 
двух немолодых девушек (из Казахстана и Эстонии), путешествующих по Финляндии 
автостопом (но с чемоданом). 
Для пущего интереса все диалоги в фильме произносятся на ломанном русском языке. 
Фильм будет безусловно интересен любителям этнографических особенностей 
народов Северо-Запада с присущим им весьма своеобразным черным юмором, 
описанном в многочисленных анекдотах.
«…Своим фильмом я прощаюсь с Финляндией, в том смысле, что страна, 
которую я любил, исчезла. Современная жизнь принесла прогресс, 
но разрушила культуру и человеческие чувства – и никто , похоже, об этом не жалеет» 
Аки Каурисмяки

http://rutracker.org/forum/viewtopic.php?t=1560435
</pre>"
13,"<pre>
 Действие фильма по мотивам одноименной повести Н. Смирнова 
развертывается в 1928 году. Сидя в американской тюрьме, Джек (Яков) 
Восьмеркин узнает от сокамерника, что в России дают землю всем желающим - 
произошла революция. Он бросает все и возвращается в родную деревню, 
чтобы воплотить в жизнь все премудрости западного фермера, которым 
он обучился за океаном. В Америку он попал четырнадцатилетним мальчишкой - 
его спасли от голода - но все местные его вскоре узнали.
Фильм во многом выигрывает, благодаря участию замечательных актеров. 
Много музыки и песен на слова Вячеслава Вербина.
</pre>"
154," 
Гонконг, 1998
Студия: China Star Entertainment
Создатели: Вэй Тунг (Wei Tung)
	<br>
В Гонг-Конге объявился король убийц — наемный убийца, который работает не из-за денег, и убирает только опасных преступников. Его очередной жертвой становится престарелый главарь якудза. Проблема в том что незадолго до смерти японец основал специальный фонд — 100 млн. долларов, которые получит тот, что отомстит убийце. чтобы получить деньги, в Гонг-Конг слетаются киллеры со всего света. В конкурсе участвует и внук убитого, жестокий гангстер Эйджи, который хочет отомстить за смерть дедушки.
	<br>
Комедия, Боевик
	<br>avi"
155," 
США, 2001
Студия: New Line Home Entertaiment
Создатели: Бретт Ратнер (Brett Ratner)
	<br>
Отпуск детектива Джеймса Картера в Гонконге омрачен. Вместо того, чтобы ходить на вечеринки и встречаться с девушками, он с напарником, полицейским Ли, отправляется на поиски главы мафиозной группировки ""Триада"". Дело осложняется, когда детективы узнают о существовании широко разветвленной сети производства и сбыта фальшивых денег.	
	<br>
Комедия, Боевик
	<br>avi"
156," 
Режиссер: Светлана Дружинина
Год выпуска: 2000-2011
	<br>
Тайны дворцовых переворотов — исторический сериал с 2001 года.
          o 1.1 Фильм 1. Завещание императора
          o 1.2 Фильм 2. Завещание императрицы
          o 1.3 Фильм 3. Я император
          o 1.4 Фильм 4. Падение Голиафа
          o 1.5 Фильм 5. Вторая невеста императора
          o 1.6 Фильм 6. Смерть юного императора
          o 1.7 Фильм 7. Виват, Анна Иоанновна!
          o 1.8 Фильм 8. Два рыцаря или Охота на принцессу!
	<br>  
драма, история
	<br>avi"
