entity_id,field_img_cover_value
8,"<img src=""/video/0_covers/popularmusik_fran_Vittula.jpg"">"
11,"<img src=""/video/0_covers/beregi_svoiu_kosynku.png"">"
661,"<img src=""/video/0_covers/Lock_Stock_and_Two_Smoking_Barrels.png"">"
663,"<img src=""/video/0_covers/Friedliche Zeiten.jpg"">"
675,"<img src=""/video/0_covers/Amadeus.jpg"">"
738,"<img src=""/video/0_covers/"">"
779,"<img src=""/video/0_covers/Skini.Romper.Stomper.jpg"">"
798,"<img src=""/video/0_covers/The-Brotherhood-of-War-800.jpg"">"
827,"<img src=""/video/0_covers/"">"
834,"<img src=""/video/0_covers/Tasogare_Seibei.jpg"">"
941,"<img src=""/video/0_covers/Die_stille_nach_dem_schuss.jpg"">"
1094,"<img src=""/video/0_covers/Ofelas.jpg"">"
1097,"<img src=""/video/0_covers/orda.jpg"">"
1098,"<img src=""/video/0_covers/the_great_dictator.jpg"">"
1100,"<img src=""/video/0_covers/Kakushi ken oni no tsume.jpg"">"
1102,"<img src=""/video/0_covers/Teresuko.jpg"">"
1103,"<img src=""/video/0_covers/Tsukigami.jpg"">"
1108,"<img src=""/video/0_covers/savior.jpg"">"
1111,"<img src=""/video/0_covers/"">"
1112,"<img src=""/video/0_covers/"">"
1113,"<img src=""/video/0_covers/"">"
1116,"<img src=""/video/0_covers/"">"
1117,"<img src=""/video/0_covers/"">"
1118,"<img src=""/video/0_covers/"">"
1119,"<img src=""/video/0_covers/"">"
1120,"<img src=""/video/0_covers/"">"
1121,"<img src=""/video/0_covers/"">"
1122,"<img src=""/video/0_covers/"">"
1123,"<img src=""/video/0_covers/"">"
1124,"<img src=""/video/0_covers/"">"
1125,"<img src=""/video/0_covers/"">"
1127,"<img src=""/video/0_covers/"">"
1128,"<img src=""/video/0_covers/"">"
1130,"<img src=""/video/0_covers/"">"
1131,"<img src=""/video/0_covers/"">"
1132,"<img src=""/video/0_covers/"">"
1133,"<img src=""/video/0_covers/"">"
1134,"<img src=""/video/0_covers/"">"
1135,"<img src=""/video/0_covers/"">"
1136,"<img src=""/video/0_covers/"">"
1137,"<img src=""/video/0_covers/"">"
1138,"<img src=""/video/0_covers/"">"
1139,"<img src=""/video/0_covers/"">"
1140,"<img src=""/video/0_covers/"">"
1142,"<img src=""/video/0_covers/"">"
1143,"<img src=""/video/0_covers/"">"
1144,"<img src=""/video/0_covers/"">"
1145,"<img src=""/video/0_covers/"">"
1146,"<img src=""/video/0_covers/"">"
1147,"<img src=""/video/0_covers/"">"
1148,"<img src=""/video/0_covers/"">"
1149,"<img src=""/video/0_covers/"">"
1150,"<img src=""/video/0_covers/"">"
1151,"<img src=""/video/0_covers/"">"
1152,"<img src=""/video/0_covers/"">"
1153,"<img src=""/video/0_covers/"">"
1154,"<img src=""/video/0_covers/"">"
1155,"<img src=""/video/0_covers/"">"
1156,"<img src=""/video/0_covers/"">"
1160,"<img src=""/video/0_covers/"">"
1162,"<img src=""/video/0_covers/"">"
1163,"<img src=""/video/0_covers/"">"
1164,"<img src=""/video/0_covers/"">"
1165,"<img src=""/video/0_covers/"">"
1166,"<img src=""/video/0_covers/TimeOfGypsies_en.jpg"">"
1167,"<img src=""/video/0_covers/"">"
1168,"<img src=""/video/0_covers/"">"
1170,"<img src=""/video/0_covers/"">"
1171,"<img src=""/video/0_covers/"">"
1172,"<img src=""/video/0_covers/"">"
1173,"<img src=""/video/0_covers/"">"
1174,"<img src=""/video/0_covers/"">"
1175,"<img src=""/video/0_covers/"">"
1176,"<img src=""/video/0_covers/"">"
1177,"<img src=""/video/0_covers/"">"
1178,"<img src=""/video/0_covers/"">"
1180,"<img src=""/video/0_covers/"">"
1181,"<img src=""/video/0_covers/"">"
1182,"<img src=""/video/0_covers/"">"
