entity_id,field_taxonomy_tid
4,4
4,28
4,22
6,43
6,5
6,15
6,94
6,22
8,33
8,4
8,5
8,75
8,150
8,27
9,4
9,42
9,16
9,22
11,4
11,5
11,93
11,16
11,61
11,70
11,22
13,5
13,22
154,31
155,31
156,31
157,31
158,31
159,31
160,31
161,31
162,31
163,31
164,31
165,31
166,31
167,31
168,31
169,31
170,31
171,31
172,31
173,31
174,31
175,31
176,31
177,31
178,31
179,31
180,31
181,31
182,31
183,31
184,31
185,31
186,31
187,31
188,31
189,31
190,31
191,31
192,31
193,31
194,31
195,31
196,31
197,31
198,31
199,31
200,31
201,31
202,31
203,31
204,31
205,31
206,31
207,31
208,31
209,31
210,31
211,31
212,31
213,31
214,31
215,31
216,31
217,31
218,31
219,31
220,31
221,31
222,31
223,31
224,31
225,31
226,31
227,31
228,31
229,31
230,31
231,31
232,31
233,31
234,31
235,31
236,31
237,31
238,31
239,31
240,31
241,31
242,31
243,31
244,31
245,31
246,31
247,31
248,31
249,31
250,31
251,31
252,31
253,31
254,31
255,31
256,31
257,31
258,31
259,31
260,31
261,31
262,31
263,31
264,31
265,31
266,31
267,31
268,31
269,31
270,31
271,31
272,31
273,31
274,31
275,31
276,31
277,31
278,31
279,31
280,31
281,31
282,31
283,31
284,31
285,31
286,31
287,31
288,31
289,31
290,31
292,31
293,31
294,31
295,31
296,31
297,31
298,31
299,31
300,31
301,31
302,31
303,31
304,31
305,31
306,31
307,31
308,31
309,31
310,31
311,31
312,31
313,31
314,31
315,31
316,31
317,31
318,31
319,31
320,31
321,31
322,31
323,31
324,31
325,31
326,31
327,31
328,31
329,31
330,31
331,31
332,31
333,31
334,31
335,31
336,31
337,31
338,31
339,31
340,31
341,31
342,31
343,31
344,31
345,31
346,31
347,31
348,31
349,31
350,31
351,31
352,31
353,31
354,31
355,31
356,31
357,31
358,31
359,31
360,31
361,31
362,31
363,31
364,31
365,31
366,31
367,31
368,31
369,31
370,31
371,31
372,31
373,31
374,31
375,31
376,31
377,31
378,31
379,31
380,31
382,31
383,31
384,31
385,31
386,31
387,31
388,31
389,31
390,31
391,31
392,31
393,31
394,31
395,31
396,31
397,31
398,31
399,31
400,31
401,31
402,31
403,31
404,31
405,31
406,31
407,31
408,31
409,31
410,31
411,31
412,31
413,31
414,31
415,31
416,31
417,31
418,31
419,31
420,31
421,31
422,31
423,31
424,31
425,31
426,31
427,31
428,31
429,31
430,31
431,31
432,31
433,31
434,31
435,31
436,31
437,31
438,31
439,31
440,31
441,31
442,31
443,31
444,31
445,31
446,31
447,31
448,31
449,31
450,31
451,31
452,31
453,31
454,31
455,31
456,31
457,31
458,31
459,31
460,31
461,31
462,31
463,31
464,31
465,31
466,31
467,31
468,31
469,31
470,31
471,31
472,31
473,31
474,31
475,31
476,31
477,31
478,31
479,31
480,31
481,31
482,31
483,31
484,31
485,31
486,31
487,31
488,31
489,31
490,31
491,31
492,31
493,31
494,31
495,31
496,31
497,31
498,31
499,31
500,31
501,31
502,31
503,31
504,31
505,31
506,31
507,31
508,31
509,31
510,31
511,31
512,31
513,31
514,31
515,31
516,31
517,31
518,31
519,31
520,31
521,31
522,31
523,31
524,31
525,31
526,31
527,31
528,31
529,31
530,31
531,31
532,31
533,31
534,31
535,31
536,31
537,31
538,31
539,31
540,31
541,31
542,31
543,31
544,31
545,31
546,31
547,31
548,31
549,31
550,31
551,31
552,31
553,31
554,31
555,31
556,31
557,31
558,31
559,31
560,31
561,31
562,31
563,31
564,31
565,31
566,31
567,31
568,31
569,31
570,31
571,31
572,31
573,31
574,31
575,31
576,31
577,31
578,31
579,31
580,31
581,31
582,31
583,31
584,31
585,31
586,31
587,31
588,31
589,31
590,31
591,31
592,31
593,31
594,31
595,31
596,31
597,31
598,31
599,31
600,31
601,31
602,31
603,31
604,31
605,31
606,31
607,31
608,31
609,31
610,31
611,31
612,31
613,31
614,31
615,31
616,31
617,31
618,31
619,31
620,31
621,31
622,31
623,31
624,31
625,31
626,31
627,31
628,31
629,31
630,31
631,31
632,31
633,31
634,31
635,31
636,31
637,31
638,31
639,31
640,31
641,31
642,31
643,31
644,31
645,31
646,31
647,31
648,31
649,31
650,31
651,31
652,31
653,31
654,31
655,31
657,31
661,5
661,13
661,158
661,60
661,148
661,22
661,27
662,33
662,96
662,54
662,60
662,66
662,22
663,4
663,61
663,150
663,22
668,49
668,83
668,51
668,85
668,22
669,49
669,51
669,22
670,49
670,83
670,51
670,22
671,49
671,51
671,85
671,25
672,4
672,5
672,68
672,22
673,4
673,111
673,67
673,89
673,150
673,22
675,4
675,96
675,160
675,66
678,32
678,68
678,22
679,39
679,96
679,12
679,123
679,61
679,62
679,89
679,27
681,4
681,13
681,43
681,56
681,60
681,66
681,22
682,4
682,66
682,22
684,96
684,5
684,42
684,175
684,134
684,140
684,174
684,176
684,82
684,73
684,27
685,5
685,42
685,175
685,140
685,176
685,45
685,73
685,22
686,43
686,61
686,150
686,22
687,4
687,43
687,73
687,22
691,5
691,14
691,117
691,43
691,106
691,68
691,22
692,96
692,5
692,61
692,22
697,5
697,28
697,12
697,62
697,22
699,96
699,117
699,39
699,4
699,22
699,68
706,4
706,76
706,22
707,4
707,96
707,165
707,62
707,150
707,22
708,43
708,12
708,39
708,22
708,60
709,32
709,172
709,201
709,63
709,22
711,32
711,66
711,22
712,37
712,4
712,43
712,26
713,5
713,28
713,122
713,69
713,22
718,5
718,28
718,89
718,22
719,5
719,28
719,112
719,150
719,22
720,169
720,4
720,96
720,73
720,22
721,42
721,114
721,150
721,22
724,5
724,196
724,180
724,136
724,195
724,194
724,139
724,80
724,73
724,22
725,37
725,4
725,12
725,66
725,27
727,68
728,39
728,96
728,68
728,22
729,5
729,175
729,140
729,136
729,179
729,152
729,45
729,73
729,22
730,4
730,14
730,67
730,89
730,150
730,22
735,39
735,74
735,66
738,4
738,5
738,13
738,155
738,44
738,60
739,28
739,65
739,22
740,5
740,28
740,157
740,66
740,22
741,32
741,172
741,201
741,68
741,25
742,32
742,172
742,68
742,22
745,5
745,137
745,14
745,112
745,60
745,89
745,22
747,5
747,28
747,157
747,66
747,22
749,13
749,161
749,66
749,22
750,4
750,112
750,89
751,4
751,13
751,22
752,117
752,32
752,22
752,66
758,42
758,71
758,67
758,75
758,148
758,22
761,31
762,31
763,32
763,96
763,61
763,22
764,31
765,31
768,31
769,33
769,32
769,60
769,68
769,22
770,31
771,31
772,31
777,32
777,173
777,60
777,22
778,31
779,4
779,13
779,22
781,31
781,5
781,66
781,22
785,37
785,63
785,22
786,31
787,31
791,5
791,56
791,60
791,22
793,5
793,198
793,199
793,140
793,152
793,45
793,73
793,22
798,37
798,4
798,96
798,156
798,22
799,31
804,31
806,5
806,129
806,136
806,73
806,22
807,31
808,5
808,28
808,157
808,66
808,22
809,5
809,28
809,157
809,66
809,22
810,43
811,5
811,28
811,187
811,66
811,22
812,31
818,5
818,137
818,138
818,22
819,4
819,43
819,122
819,69
819,22
822,32
822,60
822,22
824,4
824,96
824,107
824,68
824,22
827,5
827,54
827,189
827,147
827,61
827,89
827,22
828,5
828,117
828,140
828,152
828,81
828,73
828,22
830,5
830,22
830,66
831,5
831,60
831,22
832,169
832,4
832,96
832,66
832,22
834,37
834,4
834,159
834,63
834,22
837,31
838,31
840,5
840,157
840,66
840,22
841,96
841,5
841,119
841,110
841,73
841,22
843,42
843,119
843,107
843,68
843,22
845,96
845,4
845,22
845,128
846,53
846,5
846,22
846,61
846,60
846,66
847,96
847,135
847,73
847,22
855,4
855,61
855,22
857,4
857,96
857,56
857,60
857,22
858,5
858,42
859,4
859,68
859,22
862,4
862,107
862,68
862,22
863,39
863,4
863,66
863,22
865,4
865,53
865,22
866,4
866,5
866,73
866,22
868,37
868,43
868,66
868,22
868,27
869,4
869,60
869,61
869,89
869,22
870,33
870,4
870,97
870,68
870,22
871,43
871,68
871,22
876,5
876,129
876,133
876,132
876,82
876,73
876,22
877,5
877,66
877,22
880,5
880,54
880,199
880,45
880,68
880,22
881,108
881,68
881,89
885,5
885,66
885,22
893,32
893,188
893,66
893,27
894,32
894,60
894,22
896,4
896,60
896,66
896,22
901,5
901,57
901,15
901,22
903,4
903,191
903,124
903,160
903,66
903,148
903,22
903,27
904,13
904,5
904,142
904,144
904,22
904,66
905,37
905,5
905,13
905,74
905,66
905,22
907,4
907,13
907,143
907,144
907,142
907,66
907,22
908,4
908,56
908,22
909,12
909,43
909,22
910,5
910,183
910,181
910,182
910,89
910,22
911,5
911,183
911,182
911,89
911,22
916,115
916,116
919,4
919,42
919,122
919,69
919,22
920,5
920,28
920,122
920,61
920,69
920,22
921,5
921,107
921,106
921,73
921,22
922,5
922,108
922,106
922,73
922,22
924,5
924,106
924,68
924,89
924,22
925,5
925,106
925,73
925,22
927,4
927,113
927,22
927,75
929,42
929,113
929,61
929,71
929,114
929,89
929,75
929,22
930,4
930,156
930,22
931,4
931,13
931,68
931,22
932,4
932,5
932,166
932,131
932,68
932,22
935,4
935,133
935,135
935,73
935,22
938,96
938,14
938,4
938,22
938,114
938,73
941,4
941,96
941,61
941,22
943,31
944,5
944,22
945,5
945,68
945,22
946,42
946,144
946,66
946,22
947,31
948,4
948,36
948,65
948,61
948,22
949,31
950,4
950,43
950,134
950,135
950,68
950,22
952,4
952,5
952,68
952,22
953,4
953,96
